timestamp, power.draw [W]
2026/07/17 17:46:38.517, 60.39 W
2026/07/17 17:46:39.517, 60.01 W
2026/07/17 17:46:40.517, 59.81 W
2026/07/17 17:46:41.517, 60.55 W
2026/07/17 17:46:42.517, 60.06 W
2026/07/17 17:46:43.517, 60.20 W
2026/07/17 17:46:44.517, 60.29 W
2026/07/17 17:46:45.518, 60.03 W
2026/07/17 17:46:46.518, 60.34 W
2026/07/17 17:46:47.518, 60.08 W
2026/07/17 17:46:48.518, 60.27 W
2026/07/17 17:46:49.518, 60.10 W
2026/07/17 17:46:50.518, 59.99 W
2026/07/17 17:46:51.518, 60.48 W
2026/07/17 17:46:52.518, 60.09 W
2026/07/17 17:46:53.519, 60.42 W
2026/07/17 17:46:54.519, 60.30 W
2026/07/17 17:46:55.519, 60.32 W
2026/07/17 17:46:56.519, 60.25 W
2026/07/17 17:46:57.519, 60.26 W
2026/07/17 17:46:58.519, 60.17 W
2026/07/17 17:46:59.519, 60.05 W
2026/07/17 17:47:00.519, 60.26 W
2026/07/17 17:47:01.519, 60.48 W
2026/07/17 17:47:02.519, 60.21 W
2026/07/17 17:47:03.519, 59.92 W
2026/07/17 17:47:04.520, 60.03 W
2026/07/17 17:47:05.520, 60.06 W
2026/07/17 17:47:06.520, 60.13 W
2026/07/17 17:47:07.520, 60.04 W
2026/07/17 17:47:08.520, 60.11 W
2026/07/17 17:47:09.520, 60.18 W
2026/07/17 17:47:10.520, 59.88 W
2026/07/17 17:47:11.520, 60.19 W
2026/07/17 17:47:12.521, 60.24 W
2026/07/17 17:47:13.521, 59.96 W
2026/07/17 17:47:14.521, 60.07 W
2026/07/17 17:47:15.521, 60.30 W
2026/07/17 17:47:16.521, 59.91 W
2026/07/17 17:47:17.521, 60.44 W
2026/07/17 17:47:18.522, 60.38 W
2026/07/17 17:47:19.522, 60.32 W
2026/07/17 17:47:20.522, 60.24 W
2026/07/17 17:47:21.522, 60.18 W
2026/07/17 17:47:22.522, 60.06 W
2026/07/17 17:47:23.522, 60.12 W
2026/07/17 17:47:24.522, 60.07 W
2026/07/17 17:47:25.523, 60.21 W
2026/07/17 17:47:26.523, 60.11 W
2026/07/17 17:47:27.523, 60.22 W
2026/07/17 17:47:28.523, 59.90 W
2026/07/17 17:47:29.523, 60.07 W
2026/07/17 17:47:30.523, 59.86 W
2026/07/17 17:47:31.523, 60.22 W
2026/07/17 17:47:32.524, 60.06 W
2026/07/17 17:47:33.524, 60.07 W
2026/07/17 17:47:34.524, 60.25 W
2026/07/17 17:47:35.524, 60.51 W
2026/07/17 17:47:36.524, 60.31 W
2026/07/17 17:47:37.524, 60.16 W
2026/07/17 17:47:38.524, 60.04 W
2026/07/17 17:47:39.524, 60.04 W
2026/07/17 17:47:40.525, 60.22 W
2026/07/17 17:47:41.525, 60.05 W
2026/07/17 17:47:42.525, 60.04 W
2026/07/17 17:47:43.525, 60.07 W
2026/07/17 17:47:44.525, 60.02 W
2026/07/17 17:47:45.525, 59.97 W
2026/07/17 17:47:46.525, 59.96 W
2026/07/17 17:47:47.526, 60.07 W
2026/07/17 17:47:48.526, 60.12 W
2026/07/17 17:47:49.526, 59.70 W
2026/07/17 17:47:50.526, 59.91 W
2026/07/17 17:47:51.526, 59.78 W
2026/07/17 17:47:52.526, 60.10 W
2026/07/17 17:47:53.527, 59.92 W
2026/07/17 17:47:54.527, 59.94 W
2026/07/17 17:47:55.527, 59.78 W
2026/07/17 17:47:56.527, 60.08 W
2026/07/17 17:47:57.527, 60.20 W
2026/07/17 17:47:58.527, 60.13 W
2026/07/17 17:47:59.527, 60.11 W
2026/07/17 17:48:00.527, 60.72 W
2026/07/17 17:48:01.528, 59.94 W
2026/07/17 17:48:02.528, 60.27 W
2026/07/17 17:48:03.528, 60.21 W
